Var1,Var2,Var3,Var4
1567044349000000000,-270513248,-425970566,388797962
1567044350000000000,-270513420,-425971113,388797292
1567044351000000000,-270513669,-425971799,388796686
1567044352000000000,-270513992,-425972557,388796141
1567044353000000000,-270514288,-425973268,388795580
1567044354000000000,-270514558,-425973980,388795009
1567044355000000000,-270514794,-425974641,388794419
1567044356000000000,-270515008,-425975241,388793880
1567044357000000000,-270515209,-425975743,388793403
1567044358000000000,-270515388,-425976217,388793102
1567044359000000000,-270515503,-425976564,388792838
1567044360000000000,-270515579,-425976876,388792577
1567044361000000000,-270515678,-425977207,388792405
1567044362000000000,-270515759,-425977428,388792352
1567044363000000000,-270515812,-425977468,388792193
1567044364000000000,-270515930,-425977596,388791989
1567044365000000000,-270516139,-425977655,388791695
1567044366000000000,-270516544,-425977612,388791439
1567044367000000000,-270517115,-425977385,388791170
1567044368000000000,-270517765,-425977089,388790990
1567044369000000000,-270518474,-425976715,388790874
1567044370000000000,-270519223,-425976351,388790787
1567044371000000000,-270520005,-425975980,388790703
1567044372000000000,-270520775,-425975595,388790599
1567044373000000000,-270521493,-425975194,388790450
1567044374000000000,-270522180,-425974815,388790311
1567044375000000000,-270522868,-425974433,388790133
1567044376000000000,-270523570,-425974023,388789997
1567044377000000000,-270524285,-425973596,388789837
1567044378000000000,-270524989,-425973123,388789658
1567044379000000000,-270525665,-425972665,388789529
1567044380000000000,-270526268,-425972248,388789426
1567044381000000000,-270526778,-425971931,388789351
1567044382000000000,-270527164,-425971700,388789266
1567044383000000000,-270527460,-425971552,388789196
1567044384000000000,-270527718,-425971396,388789177
1567044385000000000,-270527935,-425971181,388789212
1567044386000000000,-270528058,-425970914,388789354
1567044387000000000,-270528097,-425970654,388789586
1567044388000000000,-270528076,-425970403,388789898
1567044389000000000,-270528041,-425970168,388790282
1567044390000000000,-270527984,-425969894,388790731
1567044391000000000,-270527943,-425969613,388791285
1567044392000000000,-270527849,-425969251,388791886
1567044393000000000,-270527758,-425968870,388792609
1567044394000000000,-270527640,-425968422,388793346
1567044395000000000,-270527478,-425967977,388794072
1567044396000000000,-270527413,-425967570,388794813
1567044397000000000,-270527315,-425967187,388795440
1567044398000000000,-270527227,-425966867,388795982
1567044399000000000,-270527157,-425966596,388796449
1567044400000000000,-270527047,-425966294,388796843
1567044401000000000,-270526953,-425965955,388797317
1567044402000000000,-270526837,-425965550,388797850
1567044403000000000,-270526717,-425965104,388798405
1567044404000000000,-270526578,-425964718,388799038
1567044405000000000,-270526470,-425964386,388799739
1567044406000000000,-270526407,-425964058,388800467
1567044407000000000,-270526387,-425963695,388801160
1567044408000000000,-270526305,-425963264,388801770
1567044409000000000,-270526170,-425962777,388802340
1567044410000000000,-270526052,-425962316,388802934
1567044411000000000,-270525896,-425961830,388803347
1567044412000000000,-270525764,-425961417,388803784
1567044413000000000,-270525672,-425961070,388804212
1567044414000000000,-270525556,-425960751,388804611
1567044415000000000,-270525458,-425960552,388804922
1567044416000000000,-270525292,-425960281,388805166
1567044417000000000,-270525144,-425959921,388805494
1567044418000000000,-270525181,-425959684,388806180
1567044419000000000,-270525049,-425959286,388806586
1567044420000000000,-270524918,-425958852,388807204
1567044421000000000,-270524829,-425958401,388807895
1567044422000000000,-270524645,-425957855,388808507
1567044423000000000,-270524449,-425957331,388809181
1567044424000000000,-270524265,-425956839,388809868
1567044425000000000,-270523988,-425956227,388810379
1567044426000000000,-270523887,-425955737,388810993
1567044427000000000,-270523697,-425955274,388811485
1567044428000000000,-270523529,-425954877,388811963
1567044429000000000,-270523419,-425954495,388812405
1567044430000000000,-270523332,-425954226,388812844
1567044431000000000,-270523232,-425953988,388813027
1567044432000000000,-270523051,-425953793,388812980
1567044433000000000,-270522922,-425953644,388812993
1567044434000000000,-270522875,-425953541,388813232
1567044435000000000,-270522709,-425953390,388813387
1567044436000000000,-270522507,-425953318,388813549
1567044437000000000,-270522201,-425953246,388813591
1567044438000000000,-270521939,-425953231,388813665
1567044439000000000,-270521689,-425953240,388813754
1567044440000000000,-270521450,-425953241,388813851
1567044441000000000,-270521220,-425953207,388813927
1567044442000000000,-270521029,-425953168,388814010
1567044443000000000,-270520877,-425953133,388814074
1567044444000000000,-270520773,-425953116,388814108
1567044445000000000,-270520738,-425953115,388814122
1567044446000000000,-270520723,-425953121,388814134
1567044447000000000,-270520669,-425953126,388814158
1567044448000000000,-270520562,-425953125,388814177
1567044449000000000,-270520426,-425953143,388814196
1567044450000000000,-270520267,-425953170,388814171
1567044451000000000,-270520094,-425953215,388814120
1567044452000000000,-270519950,-425953307,388814040
1567044453000000000,-270519830,-425953407,388813928
1567044454000000000,-270519752,-425953499,388813809
1567044455000000000,-270519717,-425953610,388813723
1567044456000000000,-270519682,-425953687,388813637
1567044457000000000,-270519635,-425953774,388813559
1567044458000000000,-270519567,-425953875,388813465
1567044459000000000,-270519492,-425953976,388813386
1567044460000000000,-270519408,-425954062,388813321
1567044461000000000,-270519327,-425954144,388813297
1567044462000000000,-270519239,-425954208,388813281
1567044463000000000,-270519130,-425954267,388813273
1567044464000000000,-270518966,-425954291,388813275
1567044465000000000,-270518783,-425954301,388813334
1567044466000000000,-270518600,-425954261,388813435
1567044467000000000,-270518447,-425954205,388813571
1567044468000000000,-270518310,-425954109,388813675
1567044469000000000,-270518189,-425954028,388813792
1567044470000000000,-270518051,-425953944,388813883
1567044471000000000,-270517921,-425953902,388813994
1567044472000000000,-270517770,-425953868,388814090
1567044473000000000,-270517636,-425953895,388814217
1567044474000000000,-270517484,-425953921,388814275
1567044475000000000,-270517325,-425954010,388814298
1567044476000000000,-270517153,-425954081,388814214
1567044477000000000,-270517011,-425954170,388814088
1567044478000000000,-270516887,-425954281,388813921
1567044479000000000,-270516798,-425954445,388813767
1567044480000000000,-270516704,-425954593,388813585
1567044481000000000,-270516607,-425954719,388813413
1567044482000000000,-270516514,-425954829,388813281
1567044483000000000,-270516413,-425954913,388813192
1567044484000000000,-270516289,-425954996,388813149
1567044485000000000,-270516131,-425955070,388813135
1567044486000000000,-270515950,-425955119,388813192
1567044487000000000,-270515758,-425955109,388813288
1567044488000000000,-270515594,-425955055,388813417
1567044489000000000,-270515466,-425954977,388813551
1567044490000000000,-270515360,-425954897,388813671
1567044491000000000,-270515281,-425954857,388813822
1567044492000000000,-270515174,-425954810,388813928
1567044493000000000,-270515035,-425954760,388814007
1567044494000000000,-270514887,-425954771,388814108
1567044495000000000,-270514700,-425954772,388814151
1567044496000000000,-270514516,-425954828,388814178
1567044497000000000,-270514334,-425954947,388814145
1567044498000000000,-270514179,-425955110,388814040
1567044499000000000,-270514041,-425955246,388813828
1567044500000000000,-270513943,-425955414,388813657
1567044501000000000,-270513832,-425955555,388813485
1567044502000000000,-270513703,-425955699,388813333
1567044503000000000,-270513562,-425955825,388813252
1567044504000000000,-270513424,-425955924,388813251
1567044505000000000,-270513258,-425955971,388813258
1567044506000000000,-270513078,-425955978,388813326
1567044507000000000,-270512900,-425955927,388813448
1567044508000000000,-270512734,-425955857,388813612
1567044509000000000,-270512565,-425955782,388813790
1567044510000000000,-270512381,-425955707,388813958
1567044511000000000,-270512199,-425955676,388814099
1567044512000000000,-270512009,-425955651,388814161
1567044513000000000,-270511849,-425955695,388814221
1567044514000000000,-270511664,-425955710,388814190
1567044515000000000,-270511481,-425955786,388814127
1567044516000000000,-270511306,-425955885,388813989
1567044517000000000,-270511173,-425956037,388813847
1567044518000000000,-270511058,-425956183,388813668
1567044519000000000,-270510963,-425956339,388813492
1567044520000000000,-270510853,-425956463,388813324
1567044521000000000,-270510694,-425956571,388813173
1567044522000000000,-270510489,-425956656,388813070
1567044523000000000,-270510313,-425956743,388813093
1567044524000000000,-270510162,-425956759,388813132
1567044525000000000,-270510069,-425956746,388813151
1567044526000000000,-270510038,-425956744,388813174
1567044527000000000,-270509961,-425956725,388813225
1567044528000000000,-270509804,-425956666,388813330
1567044529000000000,-270509658,-425956625,388813457
1567044530000000000,-270509532,-425956581,388813520
1567044531000000000,-270509392,-425956592,388813628
1567044532000000000,-270509165,-425956627,388813672
1567044533000000000,-270508946,-425956772,388813622
1567044534000000000,-270508802,-425957052,388813478
1567044535000000000,-270508731,-425957334,388813124
1567044536000000000,-270508815,-425957708,388812689
1567044537000000000,-270508994,-425958188,388812206
1567044538000000000,-270509193,-425958720,388811612
