EpochIndex,EpochT,PrnSatellitesIndex,Pseudorange,Snr,SatPosX,SatPosY,SatPosZ,SatSystem,rec_bias,GT_x,GT_y,GT_z,cov
6,1567043234.06835,21,19522470.2578943,32,-17311489.0957501,10186495.1447796,5036217.01285279,1,-0.00351688487006579,-2704479.51324662,-4260248.61161523,3887828.00853404,0.731792991601
6,1567043234.06835,27,22237902.8867071,28,-15270763.3127423,-7754602.27416289,23185284.6987953,1,-0.00351688487006579,-2704479.51324662,-4260248.61161523,3887828.00853404,1.5354183744
6,1567043234.06835,112,35811075.0519891,26,-15088347.4671889,13051725.4929707,33987175.7496564,4,-0.00351688487006579,-2704479.51324662,-4260248.61161523,3887828.00853404,0.720598952161
6,1567043234.06835,132,20778819.6144177,31,-12388907.2595898,9224573.02683917,18066810.4203006,4,-0.00351688487006579,-2704479.51324662,-4260248.61161523,3887828.00853404,0.650811679441
7,1567043235.06519,8,20077701.0085684,28,-9727332.56389707,4508252.6629961,21785742.6840515,1,-0.00351688487006579,-2704478.28809626,-4260249.18382997,3887828.1846412,-1
7,1567043235.06519,27,22238639.0410276,28,-15271730.5793174,-7757214.28912256,23184873.6188224,1,-0.00351688487006579,-2704478.28809626,-4260249.18382997,3887828.1846412,-1
7,1567043235.06519,112,35811191.0452328,26,-15089433.1750964,13051493.7963847,33986805.9419299,4,-0.00351688487006579,-2704478.28809626,-4260249.18382997,3887828.1846412,-1
7,1567043235.06519,132,20779208.4457832,31,-12388919.2868468,9222676.3590238,18068952.3769578,4,-0.00351688487006579,-2704478.28809626,-4260249.18382997,3887828.1846412,-1
8,1567043236.05827,8,20078233.0305294,28,-9728388.55932212,4505893.18063183,21786918.8918272,1,-0.00351608412377981,-2704477.43863222,-4260249.58464667,3887828.32092917,0.746584130601
8,1567043236.05827,21,19522527.6083056,31,-17311589.0278752,10185520.5340204,5042514.10458972,1,-0.00351608412377981,-2704477.43863222,-4260249.58464667,3887828.32092917,0.732208798864
8,1567043236.05827,27,22239375.5531992,27,-15272698.4147477,-7759826.09224426,23184462.2590368,1,-0.00351608412377981,-2704477.43863222,-4260249.58464667,3887828.32092917,1.53660816
8,1567043236.05827,111,36791564.5989971,12,-10898946.1587916,26256052.3036381,-16942470.672258,4,-0.00351608412377981,-2704477.43863222,-4260249.58464667,3887828.32092917,-1
8,1567043236.05827,112,35811306.1744698,26,-15090519.348948,13051262.3609033,33986436.151386,4,-0.00351608412377981,-2704477.43863222,-4260249.58464667,3887828.32092917,0.721133846416
8,1567043236.05827,132,20779596.4701371,30,-12388931.8639363,9220779.54791353,18071094.2168449,4,-0.00351608412377981,-2704477.43863222,-4260249.58464667,3887828.32092917,0.651403953216
9,1567043237.05836,8,20078759.5105123,27,-9729444.48963377,4503533.34103447,21788095.0907581,1,-0.00351608412377981,-2704476.28283739,-4260250.07747634,3887828.54900261,-1
9,1567043237.05836,27,22240114.7835184,27,-15273666.1306618,-7762438.06785742,23184050.8578536,1,-0.00351608412377981,-2704476.28283739,-4260250.07747634,3887828.54900261,-1
9,1567043237.05836,111,36792018.7609949,11,-10897972.8955653,26255247.1590509,-16944584.7182688,4,-0.00351608412377981,-2704476.28283739,-4260250.07747634,3887828.54900261,-1
9,1567043237.05836,112,35811420.6187129,25,-15091605.3003867,13051030.8021188,33986066.6164284,4,-0.00351608412377981,-2704476.28283739,-4260250.07747634,3887828.54900261,-1
9,1567043237.05836,132,20779983.9885024,30,-12388944.3025609,9218882.20913977,18073236.1783216,4,-0.00351608412377981,-2704476.28283739,-4260250.07747634,3887828.54900261,-1
10,1567043238.07536,8,20079292.3265885,27,-9730500.21257871,4501173.2900648,21789271.418416,1,-0.00351474543264479,-2704474.7046836,-4260250.56104719,3887829.08710138,0.747246140356
10,1567043238.07536,21,19522595.4427736,28,-17311687.6455857,10184544.0493739,5048812.49233153,1,-0.00351474543264479,-2704474.7046836,-4260250.56104719,3887829.08710138,0.732626436096
10,1567043238.07536,27,22240848.9141548,26,-15274633.5848491,-7765050.07026729,23183639.5529161,1,-0.00351474543264479,-2704474.7046836,-4260250.56104719,3887829.08710138,1.5377488036
10,1567043238.07536,112,35811538.4090412,24,-15092690.8871691,13050799.2657393,33985697.4747066,4,-0.00351474543264479,-2704474.7046836,-4260250.56104719,3887829.08710138,0.721665541081
10,1567043238.07536,132,20780368.0209305,29,-12388956.4605508,9216984.4884259,18075378.399013,4,-0.00351474543264479,-2704474.7046836,-4260250.56104719,3887829.08710138,0.651998111296
11,1567043239.06173,8,20079824.0285704,27,-9731556.12281349,4498813.22603242,21790448.1218553,1,-0.00351474543264479,-2704473.07562391,-4260250.77967045,3887829.94864536,-1
11,1567043239.06173,27,22241581.9324733,27,-15275601.1719016,-7767661.90107493,23183228.5912892,1,-0.00351474543264479,-2704473.07562391,-4260250.77967045,3887829.94864536,-1
11,1567043239.06173,112,35811657.1542826,24,-15093776.5039163,13050567.9500694,33985328.9732688,4,-0.00351474543264479,-2704473.07562391,-4260250.77967045,3887829.94864536,-1
11,1567043239.06173,132,20780756.8442974,29,-12388968.7325768,9215086.58416792,18077521.1258696,4,-0.00351474543264479,-2704473.07562391,-4260250.77967045,3887829.94864536,-1
12,1567043240.06116,7,19952176.2879094,10,-1488292.14533827,10754666.8353786,18526482.969379,1,-0.00351474543264479,-2704471.60083843,-4260250.7111193,3887831.06620773,-1
12,1567043240.06116,8,20080352.0235509,27,-9732612.21319564,4496452.99527292,21791625.5973265,1,-0.00351474543264479,-2704471.60083843,-4260250.7111193,3887831.06620773,-1
12,1567043240.06116,27,22242320.6037907,25,-15276568.8846211,-7770273.71386936,23182818.3692568,1,-0.00351474543264479,-2704471.60083843,-4260250.7111193,3887831.06620773,-1
12,1567043240.06116,112,35811773.9365298,23,-15094862.1434698,13050336.7014008,33984961.5083772,4,-0.00351474543264479,-2704471.60083843,-4260250.7111193,3887831.06620773,-1
12,1567043240.06116,132,20781148.1136617,29,-12388981.1115288,9213188.34268262,18079664.7551329,4,-0.00351474543264479,-2704471.60083843,-4260250.7111193,3887831.06620773,-1
13,1567043241.06183,7,19951924.7764634,29,-1489810.01220021,10756162.1175911,18524496.428921,1,-0.00351178994407085,-2704470.21146501,-4260250.28882506,3887832.46965778,0.706379735296
13,1567043241.06183,8,20080884.3162841,28,-9733668.92187586,4494092.20466338,21792804.3858601,1,-0.00351178994407085,-2704470.21146501,-4260250.28882506,3887832.46965778,0.748244030121
13,1567043241.06183,21,19522686.8633806,31,-17311833.8025247,10183076.2427174,5058266.93650436,1,-0.00351178994407085,-2704470.21146501,-4260250.28882506,3887832.46965778,0.733258253025
13,1567043241.06183,27,22243057.2432112,22,-15277537.1611864,-7772885.90190841,23182409.4279052,1,-0.00351178994407085,-2704470.21146501,-4260250.28882506,3887832.46965778,1.5393861184
13,1567043241.06183,112,35811890.859278,25,-15095948.2439832,13050105.1264872,33984595.6211225,4,-0.00351178994407085,-2704470.21146501,-4260250.28882506,3887832.46965778,0.722469400324
13,1567043241.06183,132,20781534.9316287,30,-12388994.0356272,9211289.37071507,18081809.8278995,4,-0.00351178994407085,-2704470.21146501,-4260250.28882506,3887832.46965778,0.652893088324
14,1567043242.03067,7,19951657.6932747,34,-1491328.43247315,10757656.6679471,18522511.3550271,1,-0.00351120813655322,-2704469.25879036,-4260249.54453543,3887833.91049831,0.706583142225
14,1567043242.03067,8,20081418.110673,30,-9734726.6129988,4491730.7099588,21793984.5660329,1,-0.00351120813655322,-2704469.25879036,-4260249.54453543,3887833.91049831,0.748565848809
14,1567043242.03067,27,22243799.0018346,20,-15278506.365684,-7775498.60935593,23182001.8458451,1,-0.00351120813655322,-2704469.25879036,-4260249.54453543,3887833.91049831,1.5399320836
14,1567043242.03067,112,35812010.872416,27,-15097035.1695631,13049873.0810454,33984231.3901001,4,-0.00351120813655322,-2704469.25879036,-4260249.54453543,3887833.91049831,0.722727817956
14,1567043242.03067,132,20781926.0740751,33,-12389007.8690477,9209389.5240735,18083956.4226566,4,-0.00351120813655322,-2704469.25879036,-4260249.54453543,3887833.91049831,0.65318724
15,1567043243.04091,7,19951409.8720589,31,-1492847.10041896,10759150.9767665,18520527.9153727,1,-0.00351098218767591,-2704468.59235097,-4260248.18247986,3887835.84508965,-1
15,1567043243.04091,8,20081958.5137757,20,-9735784.98098842,4489369.00182025,21795166.3052062,1,-0.00351098218767591,-2704468.59235097,-4260248.18247986,3887835.84508965,-1
15,1567043243.04091,21,19522772.8209907,34,-17311932.8280484,10182094.0045918,5064578.29620094,1,-0.00351098218767591,-2704468.59235097,-4260248.18247986,3887835.84508965,-1
15,1567043243.04091,27,22244540.8958232,23,-15279476.1925471,-7778111.34563935,23181595.7904855,1,-0.00351098218767591,-2704468.59235097,-4260248.18247986,3887835.84508965,-1
15,1567043243.04091,112,35812128.280493,27,-15098122.6146546,13049641.0556299,33983868.9827102,4,-0.00351098218767591,-2704468.59235097,-4260248.18247986,3887835.84508965,-1
15,1567043243.04091,132,20782315.1099468,34,-12389022.3062738,9207489.29331315,18086104.7068167,4,-0.00351098218767591,-2704468.59235097,-4260248.18247986,3887835.84508965,-1
16,1567043244.06799,7,19951166.3934467,26,-1494366.36517813,10760645.9211641,18518546.2174303,1,-0.00351022903036918,-2704468.6267821,-4260245.5093983,3887838.75605371,0.707053948225
16,1567043244.06799,8,20082494.0010452,18,-9736844.37495382,4487007.9573247,21796349.7109329,1,-0.00351022903036918,-2704468.6267821,-4260245.5093983,3887838.75605371,0.749270284816
16,1567043244.06799,27,22245280.79208,31,-15280446.9908262,-7780723.2336139,23181191.3693655,1,-0.00351022903036918,-2704468.6267821,-4260245.5093983,3887838.75605371,1.5411732736
16,1567043244.06799,112,35812250.9755681,24,-15099210.9282798,13049409.9273531,33983508.5064957,4,-0.00351022903036918,-2704468.6267821,-4260245.5093983,3887838.75605371,0.7232992209
16,1567043244.06799,132,20782705.3470545,37,-12389037.6964149,9205589.5555981,18088254.7878483,4,-0.00351022903036918,-2704468.6267821,-4260245.5093983,3887838.75605371,0.653816170921
16,1567043244.06799,133,24368081.2025455,24,-16103514.5856776,-10925593.245543,24436314.7533731,4,-0.00351022903036918,-2704468.6267821,-4260245.5093983,3887838.75605371,2.0386413961
17,1567043245.06967,7,19950926.4473255,26,-1495886.71602339,10762141.6496003,18516565.3159243,1,-0.00350981582799659,-2704469.90177125,-4260241.60484984,3887842.1471634,0.707306230225
17,1567043245.06967,8,20083026.5141343,16,-9737905.28416036,4484647.7250724,21797533.8378711,1,-0.00350981582799659,-2704469.90177125,-4260241.60484984,3887842.1471634,0.749639077489
17,1567043245.06967,21,19522816.7609162,32,-17312034.4991515,10181112.7149099,5070896.70075692,1,-0.00350981582799659,-2704469.90177125,-4260241.60484984,3887842.1471634,0.734150794276
17,1567043245.06967,27,22246026.3076132,29,-15281419.2497438,-7783334.12463211,23180787.6371962,1,-0.00350981582799659,-2704469.90177125,-4260241.60484984,3887842.1471634,1.54181889
17,1567043245.06967,111,36795686.7319021,12,-10890197.3980516,26248796.4387991,-16961448.6114607,4,-0.00350981582799659,-2704469.90177125,-4260241.60484984,3887842.1471634,-1
17,1567043245.06967,112,35812371.4129751,20,-15100300.5997208,13049179.8447314,33983149.016139,4,-0.00350981582799659,-2704469.90177125,-4260241.60484984,3887842.1471634,0.723600318609
17,1567043245.06967,132,20783094.9586878,35,-12389054.5287845,9203690.4594769,18090405.7204149,4,-0.00350981582799659,-2704469.90177125,-4260241.60484984,3887842.1471634,0.654142881681
17,1567043245.06967,133,24368817.9330097,26,-16103425.4176699,-10928209.9464529,24436233.8599443,4,-0.00350981582799659,-2704469.90177125,-4260241.60484984,3887842.1471634,2.0394981721
18,1567043246.06806,7,19950687.2934364,27,-1497407.92234649,10763638.4159082,18514584.7028644,1,-0.00350899357849327,-2704472.26302956,-4260236.50831042,3887846.08935775,0.707521546449
18,1567043246.06806,8,20083560.3794953,15,-9738967.47797413,4482288.55904441,21798718.1779677,1,-0.00350899357849327,-2704472.26302956,-4260236.50831042,3887846.08935775,0.749966392036
18,1567043246.06806,27,22246776.1712797,30,-15282392.7386605,-7785943.76476251,23180384.0859742,1,-0.00350899357849327,-2704472.26302956,-4260236.50831042,3887846.08935775,1.5423652864
18,1567043246.06806,111,36796145.7239745,12,-10889229.71277,26247991.300978,-16963549.6860129,4,-0.00350899357849327,-2704472.26302956,-4260236.50831042,3887846.08935775,-1
18,1567043246.06806,112,35812493.0108555,15,-15101391.3983291,13048951.0616529,33982790.003634,4,-0.00350899357849327,-2704472.26302956,-4260236.50831042,3887846.08935775,0.723864043204
18,1567043246.06806,118,38242385.9584657,10,-14144167.3561339,21147502.8475549,-23819149.7318705,4,-0.00350899357849327,-2704472.26302956,-4260236.50831042,3887846.08935775,-1
18,1567043246.06806,132,20783489.5669658,35,-12389072.572805,9201792.25890781,18092556.9964249,4,-0.00350899357849327,-2704472.26302956,-4260236.50831042,3887846.08935775,0.654442168576
18,1567043246.06806,133,24369551.8936673,28,-16103337.5180717,-10930825.5043855,24436153.1942624,4,-0.00350899357849327,-2704472.26302956,-4260236.50831042,3887846.08935775,2.0401837225
19,1567043247.07331,7,19950445.6810546,27,-1498929.42715331,10765135.8240991,18512604.2135227,1,-0.00350878932453477,-2704475.17249071,-4260230.65391956,3887850.52347344,0.70778569
19,1567043247.07331,8,20084094.1879824,13,-9740030.39939306,4479930.06335327,21799902.5664578,1,-0.00350878932453477,-2704475.17249071,-4260230.65391956,3887850.52347344,-1
19,1567043247.07331,21,19522881.0539474,35,-17312139.3842871,10180134.061984,5077217.73179299,1,-0.00350878932453477,-2704475.17249071,-4260230.65391956,3887850.52347344,0.734610124836
19,1567043247.07331,27,22247517.9537474,29,-15283366.9005844,-7788552.54999373,23179980.5509474,1,-0.00350878932453477,-2704475.17249071,-4260230.65391956,3887850.52347344,1.54306084
19,1567043247.07331,111,36796606.9637095,13,-10888262.6790608,26247186.7591657,-16965650.175284,4,-0.00350878932453477,-2704475.17249071,-4260230.65391956,3887850.52347344,-1
19,1567043247.07331,112,35812611.8516686,13,-15102482.7670942,13048723.1821755,33982431.3042317,4,-0.00350878932453477,-2704475.17249071,-4260230.65391956,3887850.52347344,-1
19,1567043247.07331,118,38242236.533861,11,-14144367.4404784,21148928.7720718,-23817327.5961845,4,-0.00350878932453477,-2704475.17249071,-4260230.65391956,3887850.52347344,-1
19,1567043247.07331,132,20783881.3753573,36,-12389091.2715111,9199894.55793997,18094708.4511482,4,-0.00350878932453477,-2704475.17249071,-4260230.65391956,3887850.52347344,0.654780364225
19,1567043247.07331,133,24370285.6209036,28,-16103250.3298834,-10933440.3152012,24436072.5915835,4,-0.00350878932453477,-2704475.17249071,-4260230.65391956,3887850.52347344,2.0410979689
20,1567043248.07168,7,19950203.0599546,27,-1500450.86131661,10766633.1761928,18510623.3071599,1,-0.00350822829547273,-2704478.26091618,-4260224.72939037,3887854.91251695,0.708026322249
20,1567043248.07168,8,20084631.5462848,13,-9741093.67928793,4477571.54018165,21801086.462515,1,-0.00350822829547273,-2704478.26091618,-4260224.72939037,3887854.91251695,-1
20,1567043248.07168,27,22248262.7687965,30,-15284341.3663383,-7791161.17807934,23179576.4913528,1,-0.00350822829547273,-2704478.26091618,-4260224.72939037,3887854.91251695,1.5436820025
20,1567043248.07168,111,36797067.3630183,10,-10887295.9278245,26246382.1154584,-16967750.6200728,4,-0.00350822829547273,-2704478.26091618,-4260224.72939037,3887854.91251695,-1
20,1567043248.07168,112,35812735.6901315,13,-15103574.3368542,13048495.5083979,33982072.3771546,4,-0.00350822829547273,-2704478.26091618,-4260224.72939037,3887854.91251695,-1
20,1567043248.07168,121,36862948.189096,30,-8460165.68070894,28149998.4691623,-14926294.8877508,4,-0.00350822829547273,-2704478.26091618,-4260224.72939037,3887854.91251695,1.2318558121
20,1567043248.07168,132,20784272.5207014,36,-12389110.2558274,9197996.65871675,18096859.5437424,4,-0.00350822829547273,-2704478.26091618,-4260224.72939037,3887854.91251695,0.655100840689
20,1567043248.07168,133,24371019.8252925,28,-16103163.4839951,-10936055.0767477,24435991.5111213,4,-0.00350822829547273,-2704478.26091618,-4260224.72939037,3887854.91251695,2.0418695236
21,1567043249.08171,7,19949962.350564,27,-1501972.23115228,10768130.4354251,18508641.9403454,1,-0.00350759677832066,-2704481.47370685,-4260218.87361149,3887859.16385832,0.708265312225
21,1567043249.08171,8,20085168.4107368,12,-9742157.32400718,4475212.95287593,21802269.8226413,1,-0.00350759677832066,-2704481.47370685,-4260218.87361149,3887859.16385832,-1
21,1567043249.08171,21,19522961.6509687,35,-17312244.4812428,10179154.9812896,5083538.72070541,1,-0.00350759677832066,-2704481.47370685,-4260218.87361149,3887859.16385832,0.735074743225
21,1567043249.08171,27,22249002.9384278,30,-15285316.1422562,-7793769.68571219,23179171.8637008,1,-0.00350759677832066,-2704481.47370685,-4260218.87361149,3887859.16385832,1.5442784361
21,1567043249.08171,112,35812860.321425,12,-15104666.1139408,13048268.0036328,33981713.1789097,4,-0.00350759677832066,-2704481.47370685,-4260218.87361149,3887859.16385832,-1
21,1567043249.08171,132,20784663.8161224,35,-12389129.5321292,9196098.52459683,18099010.2306721,4,-0.00350759677832066,-2704481.47370685,-4260218.87361149,3887859.16385832,0.6554197764
21,1567043249.08171,133,24371753.4047061,28,-16103076.986747,-10938669.8256634,24435909.909387,4,-0.00350759677832066,-2704481.47370685,-4260218.87361149,3887859.16385832,2.0426412241
22,1567043250.08084,7,19949721.6722722,27,-1503493.33577816,10769627.3670145,18506659.9227849,1,-0.00350759677832066,-2704484.65673107,-4260213.24722475,3887863.12341429,-1
22,1567043250.08084,8,20085704.3757176,12,-9743221.13266402,4472854.06677031,21803452.4564922,1,-0.00350759677832066,-2704484.65673107,-4260213.24722475,3887863.12341429,-1
22,1567043250.08084,27,22249745.484748,30,-15286291.0274021,-7796378.30749776,23178766.47769,1,-0.00350759677832066,-2704484.65673107,-4260213.24722475,3887863.12341429,-1
22,1567043250.08084,132,20785056.2034864,35,-12389148.8995696,9194199.92089891,18101160.3215694,4,-0.00350759677832066,-2704484.65673107,-4260213.24722475,3887863.12341429,-1
22,1567043250.08084,133,24372485.7796081,27,-16102990.6372576,-10941284.7966226,24435827.5960607,4,-0.00350759677832066,-2704484.65673107,-4260213.24722475,3887863.12341429,-1
23,1567043251.0602,7,19949479.4892929,27,-1505013.97063535,10771123.8031371,18504677.2923932,1,-0.00350656994693994,-2704487.60637702,-4260208.01449651,3887866.83087278,0.7087619344
23,1567043251.0602,8,20086239.1807723,14,-9744284.9006961,4470494.71415914,21804634.4019302,1,-0.00350656994693994,-2704487.60637702,-4260208.01449651,3887866.83087278,-1
23,1567043251.0602,21,19523015.2808838,37,-17312348.633126,10178173.7926756,5089858.4630702,1,-0.00350656994693994,-2704487.60637702,-4260208.01449651,3887866.83087278,0.735549800164
23,1567043251.0602,27,22250488.7070615,30,-15287265.8171933,-7798987.21115885,23178360.3712138,1,-0.00350656994693994,-2704487.60637702,-4260208.01449651,3887866.83087278,1.5455213761
23,1567043251.0602,132,20785448.0815106,35,-12389168.1536266,9192300.67988444,18103309.8542917,4,-0.00350656994693994,-2704487.60637702,-4260208.01449651,3887866.83087278,0.656074080256
23,1567043251.0602,133,24373218.8765154,28,-16102904.2309706,-10943900.1573194,24435744.6090296,4,-0.00350656994693994,-2704487.60637702,-4260208.01449651,3887866.83087278,2.0442422529
24,1567043252.06271,7,19949236.5531096,27,-1506534.00598184,10772619.5595278,18502693.9342521,1,-0.00350601716033026,-2704490.19322474,-4260203.35963818,3887870.17098655,0.708453839809
24,1567043252.06271,8,20086775.0609942,16,-9745348.49836067,4468134.71092614,21805815.5439595,1,-0.00350601716033026,-2704490.19322474,-4260203.35963818,3887870.17098655,0.751595366916
24,1567043252.06271,21,19523048.3071129,37,-17312399.9195991,10177681.9469156,5093017.72274392,1,-0.00350601716033026,-2704490.19322474,-4260203.35963818,3887870.17098655,0.735230791936
24,1567043252.06271,27,22251232.5489498,30,-15288240.3818702,-7801596.58083414,23177953.42932,1,-0.00350601716033026,-2704490.19322474,-4260203.35963818,3887870.17098655,1.5455959684
24,1567043252.06271,132,20785839.9287815,35,-12389187.1646066,9190400.61739814,18105458.7138335,4,-0.00350601716033026,-2704490.19322474,-4260203.35963818,3887870.17098655,0.655845684649
24,1567043252.06271,133,24373951.2916868,28,-16102817.6381571,-10946516.0919072,24435660.8333322,4,-0.00350601716033026,-2704490.19322474,-4260203.35963818,3887870.17098655,2.0444996196
25,1567043253.0594,7,19948994.3618363,27,-1508053.29067699,10774114.600269,18500709.9467922,1,-0.0035054746195825,-2704492.26605493,-4260199.31871172,3887873.24270539,0.7081054201
25,1567043253.0594,8,20087310.4160556,15,-9746411.7745337,4465774.02127681,21806995.980943,1,-0.0035054746195825,-2704492.26605493,-4260199.31871172,3887873.24270539,0.751363043344
25,1567043253.0594,21,19523080.0763046,36,-17312450.4854602,10177189.1695719,5096176.6347714,1,-0.0035054746195825,-2704492.26605493,-4260199.31871172,3887873.24270539,0.734874133504
25,1567043253.0594,27,22251976.8984731,29,-15289214.5702786,-7804206.4523108,23177545.7503998,1,-0.0035054746195825,-2704492.26605493,-4260199.31871172,3887873.24270539,1.5456208329
25,1567043253.0594,132,20786231.8020655,35,-12389205.7814212,9188499.69763381,18107606.9985356,4,-0.0035054746195825,-2704492.26605493,-4260199.31871172,3887873.24270539,0.655576844329
25,1567043253.0594,133,24374685.6326078,28,-16102730.707695,-10949132.6361522,24435576.3673517,4,-0.0035054746195825,-2704492.26605493,-4260199.31871172,3887873.24270539,2.0446998049
26,1567043254.06153,7,19948753.0079379,27,-1509571.6244028,10775608.0184559,18498724.2738934,1,-0.00350493619584403,-2704493.62451154,-4260196.79866718,3887874.99015378,0.707760451225
26,1567043254.06153,8,20087846.0584554,15,-9747474.52889812,4463411.7384408,21808174.6566933,1,-0.00350493619584403,-2704493.62451154,-4260196.79866718,3887874.99015378,0.751132489041
26,1567043254.06153,21,19523111.626899,36,-17312500.13045,10176694.5537851,5099334.14291388,1,-0.00350493619584403,-2704493.62451154,-4260196.79866718,3887874.99015378,0.7345175616
26,1567043254.06153,27,22252720.2916425,29,-15290188.1820841,-7806817.7323825,23177136.2783014,1,-0.00350493619584403,-2704493.62451154,-4260196.79866718,3887874.99015378,1.5456456976
26,1567043254.06153,132,20786623.9757874,35,-12389223.8037976,9186597.0137918,18109753.6521964,4,-0.00350493619584403,-2704493.62451154,-4260196.79866718,3887874.99015378,0.655311297169
26,1567043254.06153,133,24375418.924677,28,-16102643.2392756,-10951750.6968641,24435490.1549286,4,-0.00350493619584403,-2704493.62451154,-4260196.79866718,3887874.99015378,2.0449286001
